,location,district,rooms,size,level,max_levels,price,income_cat,price_cat
5498,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,4,100.0,9,9,52000,3,3
5500,"город Ташкент, Сергелийский район, 1-й проезд 5-й улицы Куприк",Сергелийский,2,41.0,4,7,32000,2,2
5501,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,4,104.0,8,9,94000,4,4
5505,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,52.0,1,5,53000,3,3
5507,"город Ташкент, Яккасарайский район, Афросиаб (пр-т Косманавтов) ",Яккасарайский,4,135.0,7,7,85000,4,4
5508,"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Мирзо-Улугбекский,2,53.0,1,4,70000,3,3
5509,"город Ташкент, Мирабадский район, Саида Барака",Мирабадский,3,75.0,2,4,85000,4,4
5510,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,38.0,1,5,27000,1,1
5511,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,83.0,2,4,80000,3,3
5512,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,4,100.0,5,9,110000,4,4
5513,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,3,67.0,4,4,34500,2,2
5514,"город Ташкент, Чиланзарский район, 1-й проезд А. Тукая",Чиланзарский,3,68.0,2,4,46500,2,2
5515,"город Ташкент, Учтепинский район",Учтепинский,3,70.0,3,4,40500,2,2
5516,"город Ташкент, Учтепинский район, Чиланзар-26",Учтепинский,2,56.0,2,5,36500,2,2
5517,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,50.0,4,4,33000,2,2
5518,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,2,50.0,1,5,35000,2,2
5519,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54.0,2,4,36500,2,2
5520,"город Ташкент, Чиланзарский район, Чиланзар. Евро-люкс",Чиланзарский,2,60.0,3,4,39000,2,2
5521,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,50.0,4,5,36500,2,2
5522,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,1,36.0,3,4,25000,1,1
5523,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,45.0,3,5,28500,1,1
5524,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,2,5,27500,1,1
5525,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,36.0,4,4,24500,1,1
5526,"город Ташкент, Мирабадский район, Буюк Турон",Мирабадский,4,120.0,13,16,66000,3,3
5527,"город Ташкент, Яккасарайский район, Дамарик",Яккасарайский,2,118.0,7,8,90000,4,4
5528,"город Ташкент, Мирзо-Улугбекский район, Хумоюн",Мирзо-Улугбекский,4,96.0,7,9,48000,2,2
5529,"город Ташкент, Мирабадский район, Мирабад",Мирабадский,4,175.0,3,12,145000,4,4
5530,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,2,73.0,7,8,42000,2,2
5531,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,1,35.0,1,4,28000,1,1
5532,"город Ташкент, Юнусабадский район, ц-5 Киёт (Ц-5) ",Юнусабадский,4,92.0,4,4,89000,4,4
5534,"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Мирзо-Улугбекский,2,77.0,6,18,59000,3,3
5535,"город Ташкент, Яшнободский район, Городок Авиастроителей 3-й квартал",Яшнободский,2,60.0,4,4,41500,2,2
5536,"город Ташкент, Юнусабадский район, Шахристанская",Юнусабадский,3,56.0,4,4,31080,2,2
5538,"город Ташкент, Мирзо-Улугбекский район, проезд Каландар",Мирзо-Улугбекский,4,110.0,5,9,70000,3,3
5541,"город Ташкент, Чиланзарский район, Фурката",Чиланзарский,3,90.0,5,9,57000,3,3
5543,"город Ташкент, Яккасарайский район, Шарафа Рашидова",Яккасарайский,2,80.0,5,7,80000,3,3
5544,"город Ташкент, Чиланзарский район, Чиланзар17",Чиланзарский,2,48.0,2,4,37000,2,2
5545,"город Ташкент, Чиланзарский район, Чиланзар  3 квартал",Чиланзарский,2,45.0,4,4,35200,2,2
5546,"город Ташкент, Чиланзарский район, Чиланзар  5 квартал",Чиланзарский,1,46.0,3,12,33500,2,2
5547,"город Ташкент, Олмазорский район, Юкори Себзор",Олмазорский,4,83.18,5,5,55000,3,3
5548,"город Ташкент, Юнусабадский район, 3-й проезд Шахристон",Юнусабадский,2,56.0,4,4,30000,1,1
5549,"город Ташкент, Олмазорский район, Каракамыш квартал 2/1",Олмазорский,2,56.8,3,4,32000,2,2
5550,"город Ташкент, Шайхантахурский район, 1- проезд Султан Жура",Шайхантахурский,2,60.0,3,9,46000,2,2
5559,"город Ташкент, Яшнободский район, Городок Авиастроителей 2-й квартал",Яшнободский,4,136.0,1,9,85000,4,4
5560,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,4,128.0,4,5,140000,4,4
5561,"город Ташкент, Шайхантахурский район, Бешагач",Шайхантахурский,4,98.0,1,9,97000,4,4
5563,"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,4,90.0,1,5,68000,3,3
5564,"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,3,70.0,5,5,50000,2,2
5565,"город Ташкент, Чиланзарский район, Аль-Хорезми-1",Чиланзарский,1,42.0,3,4,28000,1,1
5566,"город Ташкент, Чиланзарский район, Чиланзар 3-й квартал",Чиланзарский,2,40.0,4,4,42000,2,2
5569,"город Ташкент, Чиланзарский район, Гулистон",Чиланзарский,3,72.0,4,9,51500,3,3
5571,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,84.0,3,5,55000,3,3
5572,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,1,42.0,1,4,25500,1,1
5573,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,47.0,1,4,41500,2,2
5580,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,72.0,9,9,36500,2,2
5581,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,80.0,4,5,72000,3,3
5584,"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,2,50.0,2,4,43000,2,2
5585,"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,2,58.0,6,9,41000,2,2
5586,"город Ташкент, Чиланзарский район, проспект Бунёдкор",Чиланзарский,3,105.0,7,8,130000,4,4
5587,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72.0,8,9,48000,2,2
5588,"город Ташкент, Юнусабадский район, Юнусабад 19-й квартал",Юнусабадский,2,56.0,4,5,34500,2,2
5589,"город Ташкент, Шайхантахурский район, Фурката",Шайхантахурский,4,100.0,7,7,70000,3,3
5590,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,78.0,5,9,50000,2,2
5591,"город Ташкент, Чиланзарский район, Чиланзар-18",Чиланзарский,3,68.0,4,4,34500,2,2
5592,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,3,70.0,2,5,46000,2,2
5593,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,43.0,1,5,26500,1,1
5594,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,36.0,2,4,24700,1,1
5595,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,50.0,1,5,35000,2,2
5596,"город Ташкент, Чиланзарский район, Чиланзар-18",Чиланзарский,2,50.0,4,4,34500,2,2
5597,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,2,50.0,2,5,36000,2,2
5598,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,60.0,3,9,37500,2,2
5599,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,3,5,39500,2,2
5600,"город Ташкент, Чиланзарский район, Чиланзар-Ц",Чиланзарский,2,50.0,4,4,33500,2,2
